Date,Open,High,Low,Close,Adj Close,Volume
2021-01-27,274.899994,275.000000,265.700012,267.500000,267.500000,126586833
2021-01-28,260.049988,273.399994,259.049988,266.799988,266.799988,129156876
2021-01-29,273.000000,278.799988,260.600006,262.700012,262.700012,138442348
2021-02-01,269.750000,282.000000,255.350006,279.600006,279.600006,165655500
2021-02-02,293.600006,328.850006,290.399994,322.000000,322.000000,251965965
2021-02-03,339.200012,341.899994,326.200012,331.000000,331.000000,224190114
2021-02-04,329.000000,334.500000,322.450012,326.149994,326.149994,121033002
2021-02-05,327.600006,330.000000,312.600006,315.899994,315.899994,103512235
2021-02-08,318.750000,339.250000,318.000000,335.950012,335.950012,102123614
2021-02-09,337.000000,338.500000,322.200012,325.049988,325.049988,105981081
2021-02-10,326.000000,332.649994,319.500000,328.899994,328.899994,93466949
2021-02-11,326.450012,331.350006,323.399994,325.000000,325.000000,55257166
2021-02-12,326.399994,330.500000,321.250000,325.399994,325.399994,64093642
2021-02-15,329.899994,335.799988,324.000000,333.350006,333.350006,78680452
2021-02-16,335.450012,337.899994,327.500000,329.200012,329.200012,65943843
2021-02-17,326.899994,334.250000,325.450012,330.149994,330.149994,52150941
2021-02-18,331.500000,331.750000,321.100006,323.850006,323.850006,49204247
2021-02-19,321.950012,321.950012,301.399994,311.850006,311.850006,80274683
2021-02-22,312.450012,313.899994,302.149994,304.500000,304.500000,57723298
2021-02-23,308.500000,328.899994,308.500000,324.000000,324.000000,133310157
2021-02-24,325.000000,330.000000,316.500000,321.649994,321.649994,50821757
2021-02-25,325.350006,334.700012,323.250000,333.149994,333.149994,64514912
2021-02-26,323.000000,332.950012,318.850006,322.950012,322.950012,91901339
2021-03-01,330.000000,331.850006,322.700012,328.299988,328.299988,61190868
2021-03-02,331.100006,347.200012,326.450012,345.750000,345.750000,127708761
2021-03-03,348.649994,357.000000,346.500000,348.500000,348.500000,92006451
2021-03-04,339.000000,345.399994,337.299988,339.200012,339.200012,59863169
2021-03-05,333.000000,337.850006,319.700012,325.149994,325.149994,86738909
2021-03-08,331.750000,331.750000,318.799988,321.250000,321.250000,81925952
